cd_pleito,nu_processo_sei,nm_pleito,sg_pleito,nm_proponente,de_tipo_operacao,de_fase,de_fonte,sg_fonte,nm_moeda,vl_financiamento_dolar,vl_contrapartida_dolar,de_esfera,nm_regiao,nm_uf,sg_uf,dt_ultimo_recebimento,dt_primeira_cofiex,dt_validade_recomendacao,dt_reuniao_negociacao,dt_publicacao_dou,dt_assinatura,dt_ultimo_desembolso_original,dt_ultimo_desembolso_vigente,nu_operacao,de_tipo_operacao_padronizado,de_fase_padronizado,de_esfera_padronizado,nm_regiao_padronizado,sg_uf_padronizado,sg_fonte_padronizado,flag_sem_fonte,flag_sem_financiamento,flag_sem_contrapartida,flag_sem_primeira_cofiex,flag_sem_assinatura,dt_ultimo_recebimento_original,dt_primeira_cofiex_original,dt_validade_recomendacao_original,dt_reuniao_negociacao_original,dt_publicacao_dou_original,dt_assinatura_original,dt_ultimo_desembolso_original_original,dt_ultimo_desembolso_vigente_original,flag_data_extrema,flag_financiamento_nulo_zero,flag_contrapartida_maior_financiamento,flag_outlier_financeiro,nm_moeda_padronizado,de_fonte_padronizado,flag_recebimento_placeholder,flag_data_sentinela,ano_recebimento,ano_primeira_cofiex,ano_assinatura,valor_total_dolar,percentual_contrapartida,prazo_recebimento_cofiex,prazo_cofiex_assinatura,prazo_assinatura_desembolso,flag_valor_negativo,flag_financiamento_zero,flag_contrapartida_zero,flag_cronologia_invalida,flag_cd_pleito_repetido,qtd_ocorrencias_cd_pleito,flag_nu_operacao_repetida
97,,Projeto de Reestruturação Organizacional,PRO,Eletrobras Furnas,Doações,Finalizada,Banco Interamericano de Desenvolvimento - BID/Institutional Capacity Strengthening Thematic Fund),BID/ICSF,Dólar,1000000.0,2000000.0,Federal,Sudeste,Rio de Janeiro,RJ,2011-10-28,,,,,2012-08-06,2013-07-04,2013-07-04,ATN/FI-13220-BR,Doações,Finalizada,Federal,Sudeste,RJ,BID/ICSTF,False,False,False,True,False,2011-10-28,,,,,2012-08-06,2013-07-04,2013-07-04,False,False,True,False,Dólar,Banco Interamericano de Desenvolvimento - BID/Institutional Capacity Strengthening Thematic Fund),False,False,2011.0,,2012.0,3000000.0,0.6666666666666666,,,332.0,False,False,False,False,False,1,False
114,03400.000090/2013-47,Programa de Fortalecimento das Redes de Inclusão Social e de Atenção à Saúde - PROREDES,PROREDES,Estado de Sergipe,Operação de crédito externo,Arquivado,Banco Interamericano de Desenvolvimento - BID,BID,Dólar,100000000.0,40000000.0,Estadual,Nordeste,Sergipe,SE,2024-09-16,2012-10-05,2015-10-17,2014-06-05,2012-10-17,,,,3246/OC-BR,Operação de crédito externo,Arquivado,Estadual,Nordeste,SE,BID,False,False,False,False,True,2024-09-16,2012-10-05,2015-10-17,2014-06-05,2012-10-17,,,,False,False,False,False,Dólar,Banco Interamericano de Desenvolvimento - BID,False,False,2024.0,2012.0,,140000000.0,0.2857142857142857,-4364.0,,,False,False,False,True,False,1,False
116,03400.001343/2012-19,Programa Integrado de Investimentos para Revitalização e Ampliação da Infraestrutura Urbana de Canoas - Canoas para Todos.,Canoas para Todos,Município de Canoas - RS,Operação de crédito externo,Repagamento,Corporação Andina de Fomento - CAF,CAF,Dólar,50000000.0,50000000.0,Municipal,Sul,Rio Grande do Sul,RS,2012-09-13,2012-12-14,2015-01-04,2014-01-22,2013-01-04,2014-06-24,2017-06-24,2017-06-24,CFX2183,Operação de crédito externo,Repagamento,Municipal,Sul,RS,CAF,False,False,False,False,False,2012-09-13,2012-12-14,2015-01-04,2014-01-22,2013-01-04,2014-06-24,2017-06-24,2017-06-24,False,False,False,False,Dólar,Corporação Andina de Fomento - CAF,False,False,2012.0,2012.0,2014.0,100000000.0,0.5,92.0,557.0,1096.0,False,False,False,False,False,1,False
120,,Programa de Consolidação do Equilíbrio Fiscal para o Desenvolvimento do Estado do Rio Grande do Sul - II,PROCONFIS/RS II,Estado do Rio Grande do Sul,Operação de crédito externo,Repagamento,Banco Interamericano de Desenvolvimento - BID,BID,Dólar,200000000.0,,Estadual,Sul,Rio Grande do Sul,RS,2012-09-14,2013-10-04,2014-10-17,2013-11-13,2012-10-17,2014-05-29,2016-05-29,2016-05-29,3138,Operação de crédito externo,Repagamento,Estadual,Sul,RS,BID,False,False,True,False,False,2012-09-14,2013-10-04,2014-10-17,2013-11-13,2012-10-17,2014-05-29,2016-05-29,2016-05-29,False,False,False,False,Dólar,Banco Interamericano de Desenvolvimento - BID,False,False,2012.0,2013.0,2014.0,200000000.0,0.0,385.0,237.0,731.0,False,False,False,False,True,2,False
120,,Programa de Consolidação do Equilíbrio Fiscal para o Desenvolvimento do Estado do Rio Grande do Sul - II,PROCONFIS/RS II,Estado do Rio Grande do Sul,Operação de crédito externo,Repagamento,Banco Internacional para Reconstrução e Desenvolvimento - BIRD,BIRD,Dólar,280000000.0,,Estadual,Sul,Rio Grande do Sul,RS,2012-09-14,2013-10-04,2014-10-17,2014-04-16,2012-10-17,2014-08-20,2015-12-31,2015-12-31,8379,Operação de crédito externo,Repagamento,Estadual,Sul,RS,BIRD,False,False,True,False,False,2012-09-14,2013-10-04,2014-10-17,2014-04-16,2012-10-17,2014-08-20,2015-12-31,2015-12-31,False,False,False,False,Dólar,Banco Internacional para Reconstrução e Desenvolvimento - BIRD,False,False,2012.0,2013.0,2014.0,280000000.0,0.0,385.0,320.0,498.0,False,False,False,False,True,2,False
121,,Programa de Consolidação do Equilíbrio Fiscal para o Desenvolvimento Econômico e Social do Estado de Alagoas,PROCONFIS/AL,Estado de Alagoas,Operação de crédito externo,Repagamento,Banco Interamericano de Desenvolvimento - BID,BID,Dólar,250000000.0,,Estadual,Nordeste,Alagoas,AL,2012-08-22,2012-10-05,2014-10-17,2013-10-10,2012-10-17,2013-12-23,2015-12-23,2015-12-23,3061/OC-BR,Operação de crédito externo,Repagamento,Estadual,Nordeste,AL,BID,False,False,True,False,False,2012-08-22,2012-10-05,2014-10-17,2013-10-10,2012-10-17,2013-12-23,2015-12-23,2015-12-23,False,False,False,False,Dólar,Banco Interamericano de Desenvolvimento - BID,False,False,2012.0,2012.0,2013.0,250000000.0,0.0,44.0,444.0,730.0,False,False,False,False,False,1,False
122,,Refinanciamento do Resíduo da Dívida com a União - Lei 9496/97,,Estado de Santa Catarina,Operação de crédito externo,Repagamento,Bank of America Merrill Lynch Banco Múltiplo S.A.,Bank of America,Dólar,726441565.95,,Estadual,Sul,Santa Catarina,SC,2012-09-18,2012-10-05,,,,2012-12-27,2013-11-27,2013-11-27,077,Operação de crédito externo,Repagamento,Estadual,Sul,SC,BANK OF AMERICA,False,False,True,False,False,2012-09-18,2012-10-05,,,,2012-12-27,2013-11-27,2013-11-27,False,False,False,False,Dólar,Bank of America Merrill Lynch Banco Múltiplo S.A.,False,False,2012.0,2012.0,2012.0,726441565.95,0.0,17.0,83.0,335.0,False,False,False,False,False,1,False
123,03400.001148/2012-99,Projeto de Desenvolvimento Rural Sustentável do Estado da Bahia,PDRS,Estado da Bahia,Operação de crédito externo,Repagamento,Banco Internacional para Reconstrução e Desenvolvimento - BIRD,BIRD,Dólar,150000000.0,110000000.0,Estadual,Nordeste,Bahia,BA,2012-08-22,2012-10-05,2014-10-17,2014-06-03,2012-10-17,2014-08-29,2021-03-31,2022-12-30,8415,Operação de crédito externo,Repagamento,Estadual,Nordeste,BA,BIRD,False,False,False,False,False,2012-08-22,2012-10-05,2014-10-17,2014-06-03,2012-10-17,2014-08-29,2021-03-31,2022-12-30,False,False,False,False,Dólar,Banco Internacional para Reconstrução e Desenvolvimento - BIRD,False,False,2012.0,2012.0,2014.0,260000000.0,0.4230769230769231,44.0,693.0,3045.0,False,False,False,False,False,1,False
124,,Plano de Ação Goiânia Sustentável,ICES Goiania,Município de Goiânia - GO,Doações,Finalizada,Banco Interamericano de Desenvolvimento - BID,BID,Dólar,150000.0,40000.0,Municipal,Centro-Oeste,Goiás,GO,2012-12-07,,2015-04-04,,2013-04-04,2013-09-17,2015-06-17,2015-06-17,BR-T1281,Doações,Finalizada,Municipal,Centro-Oeste,GO,BID,False,False,False,True,False,2012-12-07,,2015-04-04,,2013-04-04,2013-09-17,2015-06-17,2015-06-17,False,False,False,False,Dólar,Banco Interamericano de Desenvolvimento - BID,False,False,2012.0,,2013.0,190000.0,0.2105263157894736,,,638.0,False,False,False,False,False,1,False
12714,03400.000545/2008-67,Programa de Desenvolvimento Regional do Turismo no Espírito Santo,PRODETUR NACIONAL - ES,Estado do Espírito Santo,Operação de crédito externo,Arquivado,Banco Interamericano de Desenvolvimento - BID,BID,Dólar,48000000.0,32000000.0,Estadual,Sudeste,Espírito Santo,ES,2008-04-24,,2014-07-11,2014-06-10,2008-07-11,,,,3257/OC-BR,Operação de crédito externo,Arquivado,Estadual,Sudeste,ES,BID,False,False,False,True,True,2008-04-24,,2014-07-11,2014-06-10,2008-07-11,,,,False,False,False,False,Dólar,Banco Interamericano de Desenvolvimento - BID,False,False,2008.0,,,80000000.0,0.4,,,,False,False,False,False,False,1,False
12761,,Programa de Desenvolvimento do Turismo Nacional - PRODETUR NACIONAL GOIÂNIA,PRODETUR NACIONAL GOIÂNIA,aaa,Operação de crédito externo,Arquivado,Banco Interamericano de Desenvolvimento - BID,BID,Dólar,25000000.0,25000000.0,Municipal,Centro-Oeste,Distrito Federal,DF,2008-08-14,,2013-07-27,,2008-12-18,,,,,Operação de crédito externo,Arquivado,Municipal,Centro-Oeste,DF,BID,False,False,False,True,True,2008-08-14,,2013-07-27,,2008-12-18,,,,False,False,False,False,Dólar,Banco Interamericano de Desenvolvimento - BID,False,False,2008.0,,,50000000.0,0.5,,,,False,False,False,False,False,1,False
12967,03400.001749/2010-30,Programa de Infraestrutura Básica e Saneamento do Estado do Ceará- Sanear III,PROGRAMA SANEAR III,Companhia de Água e Esgoto do Ceará - CAGECE,Operação de crédito externo,Arquivado,Banco Interamericano de Desenvolvimento - BID,BID,Dólar,90000000.0,70000000.0,Estadual,Nordeste,Ceará,CE,2010-10-29,2012-07-27,2014-08-20,,2012-08-20,,,,,Operação de crédito externo,Arquivado,Estadual,Nordeste,CE,BID,False,False,False,False,True,2010-10-29,2012-07-27,2014-08-20,,2012-08-20,,,,False,False,False,False,Dólar,Banco Interamericano de Desenvolvimento - BID,False,False,2010.0,2012.0,,160000000.0,0.4375,637.0,,,False,False,False,False,False,1,False
13051,03400.000680/2012-99,Programa de Aceleração do Desenvolvimento da Educação do Amazonas,PADEAM - AM,Estado do Amazonas,Operação de crédito externo,Repagamento,Banco Interamericano de Desenvolvimento - BID,BID,Dólar,151180000.0,121826000.0,Estadual,Norte,Amazonas,AM,2012-05-16,2012-07-27,2014-08-20,2013-08-28,2012-08-20,2014-08-05,2019-08-05,2022-08-05,2992/OC-BR,Operação de crédito externo,Repagamento,Estadual,Norte,AM,BID,False,False,False,False,False,2012-05-16,2012-07-27,2014-08-20,2013-08-28,2012-08-20,2014-08-05,2019-08-05,2022-08-05,False,False,False,False,Dólar,Banco Interamericano de Desenvolvimento - BID,False,False,2012.0,2012.0,2014.0,273006000.0,0.4462392767924514,72.0,739.0,2922.0,False,False,False,False,False,1,False
13052,03400.000699/2012-35,Projeto de Apoio à Modernização da Gestão Fazendária do Estado do Acre,PROMOFAZ - AC,Estado do Acre,Operação de crédito externo,Arquivado,Banco Interamericano de Desenvolvimento - BID,BID,Dólar,22500000.0,2500000.0,Estadual,Norte,Acre,AC,2012-05-18,2012-07-27,2014-08-20,2014-02-28,2012-08-20,,,,3162/OC-BR,Operação de crédito externo,Arquivado,Estadual,Norte,AC,BID,False,False,False,False,True,2012-05-18,2012-07-27,2014-08-20,2014-02-28,2012-08-20,,,,False,False,False,False,Dólar,Banco Interamericano de Desenvolvimento - BID,False,False,2012.0,2012.0,,25000000.0,0.1,70.0,,,False,False,False,False,False,1,False
13053,03400.000711/2012-10,Programa de Gestão Integrada das Águas e da Paisagem do Espírito Santo,GESTÃO INTEGRADA DAS ÁGUAS - ES,Estado do Espírito Santo,Operação de crédito externo,Repagamento,Banco Internacional para Reconstrução e Desenvolvimento - BIRD,BIRD,Dólar,225000000.0,75100000.0,Estadual,Sudeste,Espírito Santo,ES,2012-05-21,2012-07-27,2014-08-20,2014-02-12,2020-12-30,2015-09-28,2021-04-30,2024-06-30,83530/IBRD,Operação de crédito externo,Repagamento,Estadual,Sudeste,ES,BIRD,False,False,False,False,False,2012-05-21,2012-07-27,2014-08-20,2014-02-12,2020-12-30,2015-09-28,2021-04-30,2024-06-30,False,False,False,False,Dólar,Banco Internacional para Reconstrução e Desenvolvimento - BIRD,False,False,2012.0,2012.0,2015.0,300100000.0,0.2502499166944352,67.0,1158.0,3198.0,False,False,False,False,False,1,False
13065,03400.000095/2012-99,Financiamento do Programa de Saneamento Ambiental e Gestão Territorial do Distrito Federal - Programa Brasília Sustentável II,PROGRAMA BRASÍLIA SUSTENTÁVEL II,Distrito Federal,Operação de crédito externo,Arquivado,Banco Interamericano de Desenvolvimento - BID,BID,Dólar,100000000.0,50000000.0,Estadual,Centro-Oeste,Distrito Federal,DF,2012-03-05,2012-07-27,2017-02-23,2016-09-29,2012-08-20,,,,,Operação de crédito externo,Arquivado,Estadual,Centro-Oeste,DF,BID,False,False,False,False,True,2012-03-05,2012-07-27,2017-02-23,2016-09-29,2012-08-20,,,,False,False,False,False,Dólar,Banco Interamericano de Desenvolvimento - BID,False,False,2012.0,2012.0,,150000000.0,0.3333333333333333,144.0,,,False,False,False,False,False,1,False
13070,,Programa de Água e Saneamento de Goiânia - Segunda Etapa,BID - SANEAGO II,Saneamento de Goiás S/A - SANEAGO,Operação de crédito externo,Arquivado,Banco Interamericano de Desenvolvimento - BID,BID,Dólar,100000000.0,100000000.0,Estadual,Centro-Oeste,Goiás,GO,2012-03-22,,,,,,,,,Operação de crédito externo,Arquivado,Estadual,Centro-Oeste,GO,BID,False,False,False,True,True,2012-03-22,,,,,,,,False,False,False,False,Dólar,Banco Interamericano de Desenvolvimento - BID,False,False,2012.0,,,200000000.0,0.5,,,,False,False,False,False,False,1,False
13071,,Programa Caminhos de Minas,Caminhos de Minas/CAF,Estado de Minas Gerais,Operação de crédito externo,Arquivado,Corporação Andina de Fomento - CAF,CAF,Dólar,300000000.0,75000000.0,Estadual,Sudeste,Minas Gerais,MG,2012-04-09,2012-07-27,,2018-07-18,,,,,00,Operação de crédito externo,Arquivado,Estadual,Sudeste,MG,CAF,False,False,False,False,True,2012-04-09,2012-07-27,,2018-07-18,,,,,False,False,False,False,Dólar,Corporação Andina de Fomento - CAF,False,False,2012.0,2012.0,,375000000.0,0.2,109.0,,,False,False,False,False,False,1,True
13072,03400.000525/2012-72,Programa de Modernização Integrada do Ministério da Fazenda,PMIMF,República Federativa do Brasil,Operação de crédito externo,Repagamento,Banco Interamericano de Desenvolvimento - BID,BID,Dólar,19800000.0,2200000.0,Federal,Nacional,Distrito Federal,DF,2012-04-16,2012-07-27,2014-08-20,2013-12-03,2012-08-20,2014-03-28,2019-03-28,2019-03-28,3142/OC-BR,Operação de crédito externo,Repagamento,Federal,Nacional,DF,BID,False,False,False,False,False,2012-04-16,2012-07-27,2014-08-20,2013-12-03,2012-08-20,2014-03-28,2019-03-28,2019-03-28,False,False,False,False,Dólar,Banco Interamericano de Desenvolvimento - BID,False,False,2012.0,2012.0,2014.0,22000000.0,0.1,102.0,609.0,1826.0,False,False,False,False,False,1,False
13074,03400.000650/2012-82,Sistema de Macrodrenagem do Rio Baquirivu-Guaçu,PROGRAMA BAQUIRIVU-GUAÇU,Estado de São Paulo,Operação de crédito externo,Em execução,Corporação Andina de Fomento - CAF,CAF,Dólar,204000000.0,240419000.0,Estadual,Sudeste,São Paulo,SP,2012-05-09,2012-07-27,2014-08-20,2013-08-14,2012-08-20,2014-07-25,2018-07-25,2026-07-25,CFX2231,Operação de crédito externo,Em execução,Estadual,Sudeste,SP,CAF,False,False,False,False,False,2012-05-09,2012-07-27,2014-08-20,2013-08-14,2012-08-20,2014-07-25,2018-07-25,2026-07-25,False,False,True,False,Dólar,Corporação Andina de Fomento - CAF,False,False,2012.0,2012.0,2014.0,444419000.0,0.5409737207455126,79.0,728.0,4383.0,False,False,False,False,False,1,False
27491,,"Prevenção, Controle e Monitoramento de Queimadas Irregulares e Incêndios Florestais no Cerrado",DOAÇÃO - CAIXA CERRADO,Caixa Econômica Federal - CEF,Doações,Finalizada,KfW Entwicklungsbank - Doação,KfW/DOAÇÃO,Euro,7621200.0,,Federal,Nacional,Distrito Federal,DF,2012-07-04,2012-07-27,2014-08-20,,2012-08-20,2012-06-20,2015-12-31,2015-12-31,209810854,Doações,Finalizada,Federal,Nacional,DF,KFW/DOAÇÃO,False,False,True,False,False,2012-07-04,2012-07-27,2014-08-20,,2012-08-20,2012-06-20,2015-12-31,2015-12-31,False,False,False,False,Euro,KfW Entwicklungsbank - Doação,False,False,2012.0,2012.0,2012.0,7621200.0,0.0,23.0,-37.0,1289.0,False,False,False,False,False,1,False
27552,,Programa de Saneamento Ambiental e Desenvolvimento Econômico e Social do Município de Duque de Caxias,PROSADUQUE,Município de Duque de Caxias - RJ,Operação de crédito externo,Arquivado,Banco Interamericano de Desenvolvimento - BID,BID,Dólar,43614494.0,43614494.0,Municipal,Sudeste,Rio de Janeiro,RJ,2005-11-09,,2012-06-06,,2006-06-06,,,,,Operação de crédito externo,Arquivado,Municipal,Sudeste,RJ,BID,False,False,False,True,True,2005-11-09,,2012-06-06,,2006-06-06,,,,False,False,False,False,Dólar,Banco Interamericano de Desenvolvimento - BID,False,False,2005.0,,,87228988.0,0.5,,,,False,False,False,False,False,1,False
27826,,Programa de Desenvolvimento do Turismo no Estado do Rio Grande do Norte,PRODETUR NACIONAL - RN,Estado do Rio Grande do Norte,Operação de crédito externo,Arquivado,Banco Interamericano de Desenvolvimento - BID,BID,Dólar,45000000.0,5000000.0,Estadual,Nordeste,Rio Grande do Norte,RN,2008-05-23,,2014-07-11,,2008-07-11,,,,,Operação de crédito externo,Arquivado,Estadual,Nordeste,RN,BID,False,False,False,True,True,2008-05-23,,2014-07-11,,2008-07-11,,,,False,False,False,False,Dólar,Banco Interamericano de Desenvolvimento - BID,False,False,2008.0,,,50000000.0,0.1,,,,False,False,False,False,False,1,False
27832,,Programa de Desenvolvimento do Turismo no Estado de Mato Grosso do Sul,PRODETUR NACIONAL - MS,Estado de Mato Grosso do Sul,Operação de crédito externo,Arquivado,Banco Interamericano de Desenvolvimento - BID,BID,Dólar,30000000.0,20000000.0,Estadual,Centro-Oeste,Mato Grosso do Sul,MS,2008-03-04,,2012-10-13,,2008-10-13,,,,,Operação de crédito externo,Arquivado,Estadual,Centro-Oeste,MS,BID,False,False,False,True,True,2008-03-04,,2012-10-13,,2008-10-13,,,,False,False,False,False,Dólar,Banco Interamericano de Desenvolvimento - BID,False,False,2008.0,,,50000000.0,0.4,,,,False,False,False,False,False,1,False
27876,,"Programa de Implantação do Sistema de Transporte entre as Cidades do Gama, Santa Maria e Plano Piloto - 1ª Etapa",EIXO SUL - DF - 1ª ETAPA,Distrito Federal,Operação de crédito externo,Arquivado,Corporação Andina de Fomento - CAF,CAF,Dólar,243508000.0,150980000.0,Estadual,Centro-Oeste,Distrito Federal,DF,2008-07-03,2012-07-27,,,2009-05-18,,,,,Operação de crédito externo,Arquivado,Estadual,Centro-Oeste,DF,CAF,False,False,False,False,True,2008-07-03,2012-07-27,,,2009-05-18,,,,False,False,False,False,Dólar,Corporação Andina de Fomento - CAF,False,False,2008.0,2012.0,,394488000.0,0.3827239358358175,1485.0,,,False,False,False,False,False,1,False
27931,,Doação-Projeto de Construção de Pequenas Centrais Hidrelétricas - Contribuição Financeira Não-Reembolsável da Tranche II do Complexo São Bernardo,DOAÇÃO COMPLEXO SÃO BERNARDO,Centrais Elétricas Brasileiras S/A - ELETROBRÁS,Doações,Finalizada,KfW Entwicklungsbank - Doação,KfW/DOAÇÃO,Euro,3472384.13443136,,Federal,Nacional,Distrito Federal,DF,2008-11-13,,2013-01-30,,2009-01-30,2012-01-10,2012-02-12,,200066324,Doações,Finalizada,Federal,Nacional,DF,KFW/DOAÇÃO,False,False,True,True,False,2008-11-13,,2013-01-30,,2009-01-30,2012-01-10,2012-02-12,,False,False,False,False,Euro,KfW Entwicklungsbank - Doação,False,False,2008.0,,2012.0,3472384.13443136,0.0,,,,False,False,False,False,False,1,True
27973,03000.001895/2009-34,Programa de Apoio à Modernização da Gestão do Sistema de Previdência Social - PROPREV - Segunda Fase,PROPREV - 2ª FASE,República Federativa do Brasil,Operação de crédito externo,Repagamento,Banco Interamericano de Desenvolvimento - BID,BID,Dólar,10000000.0,10000000.0,Federal,Nacional,Distrito Federal,DF,2009-05-12,,2012-07-16,,2009-07-16,2013-06-10,2018-06-10,2018-06-10,2791/OC-BR,Operação de crédito externo,Repagamento,Federal,Nacional,DF,BID,False,False,False,True,False,2009-05-12,,2012-07-16,,2009-07-16,2013-06-10,2018-06-10,2018-06-10,False,False,False,False,Dólar,Banco Interamericano de Desenvolvimento - BID,False,False,2009.0,,2013.0,20000000.0,0.5,,,1826.0,False,False,False,False,False,1,False
28030,03400.002045/2009-41,Programa de Construção de Pequenas Centrais Hidrelétricas/Eletrobrás - Tranche III,PCHs - TRANCHE III,Centrais Elétricas Brasileiras S/A - ELETROBRÁS,Operação de crédito externo,Repagamento,KfW Entwicklungsbank,KfW,Euro,27900000.0,48519000.0,Federal,Nacional,Distrito Federal,DF,2009-11-04,,2012-06-25,,2010-06-25,2012-11-01,2016-12-31,2017-12-31,200066324,Operação de crédito externo,Repagamento,Federal,Nacional,DF,KFW,False,False,False,True,False,2009-11-04,,2012-06-25,,2010-06-25,2012-11-01,2016-12-31,2017-12-31,False,False,True,False,Euro,KfW Entwicklungsbank,False,False,2009.0,,2012.0,76419000.0,0.6349075491697092,,,1886.0,False,False,False,False,False,1,True
28031,03400.002061/2009-33,Programa de Integração Viária do Planalto Norte do Estado de Santa Catarina,PROVIAS-SC,Estado de Santa Catarina,Operação de crédito externo,Repagamento,Corporação Andina de Fomento - CAF,CAF,Dólar,55000000.0,69101000.0,Estadual,Sul,Santa Catarina,SC,2009-11-05,,2012-05-14,,2010-05-14,2014-08-26,2017-08-26,2019-08-26,CFX2252,Operação de crédito externo,Repagamento,Estadual,Sul,SC,CAF,False,False,False,True,False,2009-11-05,,2012-05-14,,2010-05-14,2014-08-26,2017-08-26,2019-08-26,False,False,True,False,Dólar,Corporação Andina de Fomento - CAF,False,False,2009.0,,2014.0,124101000.0,0.5568125961918116,,,1826.0,False,False,False,False,False,1,False
28196,,Programa de Apoio à Gestão Integrada em Redes de Saúde e Desenvolvimento Humano do Estado da Paraíba,PROAGIR - PB,Estado da Paraíba,Operação de crédito externo,Arquivado,Banco Interamericano de Desenvolvimento - BID,BID,Dólar,57842000.0,24342000.0,Estadual,Nordeste,Paraíba,PB,2012-03-12,,,,,,,,00,Operação de crédito externo,Arquivado,Estadual,Nordeste,PB,BID,False,False,False,True,True,2012-03-12,,,,,,,,False,False,False,False,Dólar,Banco Interamericano de Desenvolvimento - BID,False,False,2012.0,,,82184000.0,0.296189039229047,,,,False,False,False,False,False,1,True
42612,03400.000933/2012-24,Regularização Ambiental de Imóveis Rurais no Cerrado - CAR/FIP,CAR-FIP,"MINISTERIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO - MAPA",Operação de crédito externo,Repagamento,Banco Internacional para Reconstrução e Desenvolvimento - BIRD/FIP,BIRD/FIP,Dólar,32480000.0,17500000.0,Federal,Nacional,,,2012-06-27,2012-07-27,2015-08-20,2015-05-21,2012-08-20,2017-05-22,2020-02-28,2022-12-31,SCF - TF019211,Operação de crédito externo,Repagamento,Federal,Nacional,NAO_INFORMADO,BIRD/FIP,False,False,False,False,False,2012-06-27,2012-07-27,2015-08-20,2015-05-21,2012-08-20,2017-05-22,2020-02-28,2022-12-31,False,False,False,False,Dólar,Banco Internacional para Reconstrução e Desenvolvimento - BIRD/FIP,False,False,2012.0,2012.0,2017.0,49980000.0,0.3501400560224089,30.0,1760.0,2049.0,False,False,False,False,False,1,False
57747,,Usina Hidrelétrica de Salto de Caxias,SALTO DE CAXIAS,Estado do Paraná,Operação de crédito externo,Arquivado,Banco Interamericano de Desenvolvimento - BID,BID,Dólar,540000000.0,,Estadual,Sul,Paraná,PR,,1993-06-14,,,,,,,021962,Operação de crédito externo,Arquivado,Estadual,Sul,PR,BID,False,False,True,False,True,1940-01-01,1993-06-14,,,,,,,False,False,False,False,Dólar,Banco Interamericano de Desenvolvimento - BID,True,False,,1993.0,,540000000.0,0.0,,,,False,False,False,False,False,1,False
57748,,Programa de Infra-Estrutura Rodoviária do Estado da Bahia,RODOVIAS BA,Estado da Bahia,Operação de crédito externo,Repagamento,Banco Interamericano de Desenvolvimento - BID,BID,Dólar,147000000.0,147000000.0,Estadual,Nordeste,Bahia,BA,1993-03-14,1992-03-16,,1993-08-25,,1994-02-09,1998-02-09,1998-08-09,0772-764CO,Operação de crédito externo,Repagamento,Estadual,Nordeste,BA,BID,False,False,False,False,False,1993-03-14,1992-03-16,,1993-08-25,,1994-02-09,1998-02-09,1998-08-09,False,False,False,False,Dólar,Banco Interamericano de Desenvolvimento - BID,False,False,1993.0,1992.0,1994.0,294000000.0,0.5,-363.0,695.0,1642.0,False,False,False,True,False,1,False
57749,,Apoio ao Programa de Desenvolvimento Científico e Tecnológico Fase II,FINEP II,República Federativa do Brasil,Operação de crédito externo,Finalizada,Banco Interamericano de Desenvolvimento - BID,BID,Dólar,160000000.0,0.0,Federal,Nacional,Distrito Federal,DF,1992-08-05,1993-06-02,,1995-08-18,,1996-02-22,2000-02-22,2002-02-22,0880-CO,Operação de crédito externo,Finalizada,Federal,Nacional,DF,BID,False,False,False,False,False,1992-08-05,1993-06-02,,1995-08-18,,1996-02-22,2000-02-22,2002-02-22,False,False,False,False,Dólar,Banco Interamericano de Desenvolvimento - BID,False,False,1992.0,1993.0,1996.0,160000000.0,0.0,301.0,995.0,2192.0,False,False,True,False,False,1,False
57750,,Projeto de Conservação e Manejo de Solos - SP,MICROBACIAS SP-Cons/Manej,Estado de São Paulo,Operação de crédito externo,Finalizada,Banco Internacional para Reconstrução e Desenvolvimento - BIRD,BIRD,Dólar,55000000.0,71000000.0,Estadual,Sudeste,São Paulo,SP,1992-05-13,1992-05-27,,1997-09-12,,1999-12-07,2005-12-31,2008-11-30,4238-0,Operação de crédito externo,Finalizada,Estadual,Sudeste,SP,BIRD,False,False,False,False,False,1992-05-13,1992-05-27,,1997-09-12,,1999-12-07,2005-12-31,2008-11-30,False,False,True,False,Dólar,Banco Internacional para Reconstrução e Desenvolvimento - BIRD,False,False,1992.0,1992.0,1999.0,126000000.0,0.5634920634920635,14.0,2750.0,3281.0,False,False,False,False,False,1,False
57751,,Irrigacao Privada No Nordeste,IRRIGAÇÃO PRIVADA,República Federativa do Brasil,Operação de crédito externo,Arquivado,Banco Internacional para Reconstrução e Desenvolvimento - BIRD,BIRD,Dólar,198300000.0,0.0,Federal,Nacional,Distrito Federal,DF,1990-07-25,1991-08-16,,,,,,,,Operação de crédito externo,Arquivado,Federal,Nacional,DF,BIRD,False,False,False,False,True,1990-07-25,1991-08-16,,,,,,,False,False,False,False,Dólar,Banco Internacional para Reconstrução e Desenvolvimento - BIRD,False,False,1990.0,1991.0,,198300000.0,0.0,387.0,,,False,False,True,False,False,1,False
